Fund Name,Date,NAV
Palisade Ridge Capital,31/12/2020," 8,500,000.00 "
Palisade Ridge Capital,31/03/2021," 9,000,000.00 "
Palisade Ridge Capital,30/06/2021," 9,800,000.00 "
Palisade Ridge Capital,15/07/2021," 10,800,000.00 "
Palisade Ridge Capital,11/08/2021," 10,500,000.00 "
Palisade Ridge Capital,30/09/2021," 11,000,000.00 "
Palisade Ridge Capital,31/12/2021," 12,000,000.00 "
Ironbrook Capital Partners,31/12/2020," 50,000,000.00 "
Ironbrook Capital Partners,30/06/2021," 70,000,000.00 "
Ironbrook Capital Partners,31/12/2021," 71,000,000.00 "
Summitvale Equity Group,31/12/2020," 10,000,000.00 "
Summitvale Equity Group,31/03/2021," 11,000,000.00 "
Summitvale Equity Group,30/06/2021," 12,000,000.00 "
Summitvale Equity Group,01/07/2021," 11,000,000.00 "
Summitvale Equity Group,30/09/2021," 12,000,000.00 "
Summitvale Equity Group,31/12/2021," 13,000,000.00 "
